id,text,is_spam,source
1057,Display malfunction degradasi performa setelah 100 jam operasi penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1058,Ground loop koneksi tidak stabil di penggunaan field kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1059,Kapasitor Meledak kegagalan output stage penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1060,Kapasitor Meledak degradasi performa setelah 100 jam operasi kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1061,Solderan Retak intermittent fault saat temperature tinggi penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1062,Power supply error solderan retak akibat thermal cycling penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1063,DCDC short kegagalan output stage lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1064,Ground loop kegagalan output stage penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1065,Koneksi longgar komponen rusak karena tegangan berlebih kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1066,Impedance mismatch koneksi tidak stabil di penggunaan field kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1067,Solderan Retak solderan retak akibat thermal cycling lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1068,Sensor timeout degradasi performa setelah 100 jam operasi kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1069,tidak bisa charge intermittent fault saat temperature tinggi penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
"1070,""Kapasitor Meledak degradasi performa setelah 100 jam operasi penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
1071,tidak bisa charge intermittent fault saat temperature tinggi lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1072,tidak bisa charge komponen rusak karena tegangan berlebih lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1073,Ground loop short circuit pada supply rail kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1074,tidak bisa charge short circuit pada supply rail lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
"1075,""Display malfunction solderan retak akibat thermal cycling penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
"1076,""Ground loop penggunaan di lapangan melebihi spesifikasi penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
1077,Voltage drop short circuit pada supply rail penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1078,Impedance mismatch komponen rusak karena tegangan berlebih lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1079,Display malfunction komponen rusak karena tegangan berlebih penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1080,DCDC short penggunaan di lapangan melebihi spesifikasi penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1081,Display malfunction intermittent fault saat temperature tinggi lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1082,Buffer overflow short circuit pada supply rail penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
"1083,""Thermal runaway solderan retak akibat thermal cycling penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
1084,Memory leak solderan retak akibat thermal cycling penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1085,Buffer overflow degradasi performa setelah 100 jam operasi penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1086,tidak bisa charge short circuit pada supply rail penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1087,Thermal runaway intermittent fault saat temperature tinggi lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
"1088,""tidak bisa charge degradasi performa setelah 100 jam operasi penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
1089,Buffer overflow solderan retak akibat thermal cycling penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1090,Ground loop solderan retak akibat thermal cycling penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
"1091,""Impedance mismatch solderan retak akibat thermal cycling penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
1092,Impedance mismatch intermittent fault saat temperature tinggi penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1093,Buffer overflow komponen rusak karena tegangan berlebih penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
1094,Clock skew solderan retak akibat thermal cycling kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1095,Clock skew kegagalan output stage kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1096,Thermal runaway komponen rusak karena tegangan berlebih penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1097,DCDC short komponen rusak karena tegangan berlebih kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1098,Impedance mismatch degradasi performa setelah 100 jam operasi penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1099,Display malfunction penggunaan di lapangan melebihi spesifikasi lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
1100,Impedance mismatch koneksi tidak stabil di penggunaan field kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1101,Clock skew solderan retak akibat thermal cycling lingkungan dengan banyak getaran mesin,0,Normal manufacturing bugs
"1102,""Power supply error kegagalan output stage penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
"1103,""Thermal runaway short circuit pada supply rail penggunaan di posko, kondisi panas"",0,Normal manufacturing bugs"
1104,tidak bisa charge koneksi tidak stabil di penggunaan field penggunaan outdoor jangka panjang,0,Normal manufacturing bugs
1105,Kapasitor Meledak short circuit pada supply rail kondisi lembab dengan paparan korosi,0,Normal manufacturing bugs
1106,Impedance mismatch kegagalan output stage penggunaan kontinyu tanpa henti,0,Normal manufacturing bugs
"1107,WEIGHT LOSS PILLS - GUARANTEED Your bank account has been COMPROMISED!!! Click link!!! This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1108,BUY CHEAP DRUGS NOW!!! Buy cheap medications no prescription needed!!! !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1109,!!!SPAM ALERT!!! Your bank account has been COMPROMISED!!! Click link!!! This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1110,BUY CHEAP DRUGS NOW!!! URGENT: You have won! Claim prize now at spam-site.com !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1111,ENLARGEMENT PILLS - WORKS FAST Russian brides waiting for you! Join today!!! !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1112,JOIN NOW - MAKE MILLIONS Click here: bit.ly/spam123 for amazing deals!!! FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1113,WEIGHT LOSS PILLS - GUARANTEED Your bank account has been COMPROMISED!!! Click link!!! FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1114,CASINO GAMES FREE MONEY SPAM SPAM SPAM SPAM SPAM SPAM SPAM This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1115,CASINO GAMES FREE MONEY SPAM SPAM SPAM SPAM SPAM SPAM SPAM !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1116,Forex Trading Robot - 99% profit URGENT: You have won! Claim prize now at spam-site.com PROMOTIONAL: Buy products at spam.io,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1117,(((SCAM))) SPAM SPAM SPAM SPAM SPAM SPAM SPAM FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1118,LOTTERY WINNER CLICK!! URGENT: You have won! Claim prize now at spam-site.com This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1119,JOIN NOW - MAKE MILLIONS Free money transfer! Click: http://virus.com CLICK HERE: www.totally-not-spam.com,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1120,CASINO GAMES FREE MONEY Buy cheap medications no prescription needed!!! !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1121,JOIN NOW - MAKE MILLIONS LADIES: Make $$$$ from home! Join us NOW!!! CLICK HERE: www.totally-not-spam.com,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1122,Make $5000 per week!!! Russian brides waiting for you! Join today!!! This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1123,Forex Trading Robot - 99% profit Get rich quick scheme - guaranteed results!!! PROMOTIONAL: Buy products at spam.io,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1124,FREE IPHONE 15 CLICK HERE LADIES: Make $$$$ from home! Join us NOW!!! This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1125,Forex Trading Robot - 99% profit THIS IS NOT A REAL BUG - CLICK SPAM LINK FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1126,!!!SPAM ALERT!!! LADIES: Make $$$$ from home! Join us NOW!!! FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1127,www.spam-click.com VISIT NOW Click here: bit.ly/spam123 for amazing deals!!! CLICK HERE: www.totally-not-spam.com,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1128,CASINO GAMES FREE MONEY Russian brides waiting for you! Join today!!! This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1129,Make $5000 per week!!! Click here: bit.ly/spam123 for amazing deals!!! This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1130,www.spam-click.com VISIT NOW Your bank account has been COMPROMISED!!! Click link!!! !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1131,WEIGHT LOSS PILLS - GUARANTEED Your bank account has been COMPROMISED!!! Click link!!! CLICK HERE: www.totally-not-spam.com,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1132,CLICK HERE FOR FREE MONEY Buy cheap medications no prescription needed!!! FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1133,BUY CHEAP DRUGS NOW!!! THIS IS NOT A REAL BUG - CLICK SPAM LINK PROMOTIONAL: Buy products at spam.io,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1134,BUY CHEAP DRUGS NOW!!! THIS IS NOT A REAL BUG - CLICK SPAM LINK This is spam content - ignore this bug,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1135,CLICK HERE FOR FREE MONEY THIS IS NOT A REAL BUG - CLICK SPAM LINK FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1136,FREE IPHONE 15 CLICK HERE THIS IS NOT A REAL BUG - CLICK SPAM LINK !!!ADVERTISEMENT!!! Join our club!!!,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1137,FREE IPHONE 15 CLICK HERE SPAM SPAM SPAM SPAM SPAM SPAM SPAM PROMOTIONAL: Buy products at spam.io,1,""Obvious spam (VIAGRA, CASINO, etc)"""
"1138,www.spam-click.com VISIT NOW LADIES: Make $$$$ from home! Join us NOW!!! FAKE ENVIRONMENT FOR SPAM TESTING,1,""Obvious spam (VIAGRA, CASINO, etc)"""
